job_title,company,location,salary_aud,job_type,experience_years,skills_required,remote_option,date_posted
Full Stack Developer,Wesfarmers,Fremantle,116000,Internship,5,"Deep Learning, REST APIs, Git, Tableau, Machine Learning, scikit-learn, Azure",No,2026-01-24
API Developer,HBF,Perth CBD,113000,Internship,5,"FastAPI, SQL, MySQL, Tableau, Azure, MongoDB",No,2026-03-20
AI Engineer,BHP,Midland,81000,Contract,2,"pandas, Statistics, Python, Hadoop, Deep Learning, REST APIs",Hybrid,2026-01-17
Data Engineer,Murdoch University,Joondalup,84000,Part-time,4,"Agile, AWS, SQL",Hybrid,2026-04-18
Backend Developer,RAC WA,Joondalup,138000,Contract,7,"MySQL, Data Visualisation, PyTorch, Communication, Excel, R",Yes,2026-02-15
Data Engineer,Small Tech Startup,Remote,106000,Casual,4,"Tableau, Hadoop, NLP, Statistics, Python, Docker, FastAPI",Hybrid,2026-04-08
Full Stack Developer,Wesfarmers,Perth CBD,95000,Casual,3,"MySQL, TensorFlow, Tableau, pandas",Hybrid,2026-01-05
Junior Data Scientist,Water Corporation,Perth CBD,62000,Part-time,1,"Power BI, Node.js, SQL",Hybrid,2026-01-12
Python Developer,BHP,Joondalup,109000,Internship,8,"Git, Deep Learning, Docker, Data Visualisation",No,2026-03-01
Full Stack Developer,Telstra,Remote,128000,Part-time,4,"scikit-learn, REST APIs, Node.js, Docker, R, Agile, NLP",No,2026-03-18
Machine Learning Engineer,GovTech WA,Perth CBD,84000,Contract,6,"REST APIs, Communication, Hadoop, Machine Learning, JavaScript, R, MongoDB",Hybrid,2026-04-08
Graduate Data Analyst,RAC WA,Osborne Park,72000,Part-time,0,"Spark, MongoDB, Tableau, NumPy, PyTorch",Yes,2026-03-18
Full Stack Developer,Murdoch University,Midland,126000,Internship,6,"FastAPI, MySQL, Agile, SQL",Hybrid,2026-02-04
Python Developer,Curtin University,Subiaco,96000,Internship,5,"Deep Learning, scikit-learn, JavaScript, Excel, Agile",Hybrid,2026-02-18
Data Analyst,HBF,Remote,98000,Part-time,8,"R, Node.js, Communication, SQL, Excel, Deep Learning",No,2026-02-23
Full Stack Developer,GovTech WA,Fremantle,139000,Internship,2,"NumPy, Agile, Python, Deep Learning, Hadoop",Hybrid,2026-02-22
Python Developer,Small Tech Startup,Remote,140000,Contract,5,"Git, scikit-learn, Docker, NumPy",No,2026-03-08
Backend Developer,IBM,Fremantle,114000,Contract,8,"MySQL, Power BI, FastAPI, Hadoop, AWS, Docker",No,2026-04-16
Data Analyst,HBF,Hybrid - Perth,117000,Casual,6,"Hadoop, Tableau, Python, pandas",No,2026-02-09
Junior Data Scientist,RAC WA,Bentley,66000,Contract,1,"PyTorch, REST APIs, Statistics, NLP",No,2026-05-06
Software Engineer,BHP,Remote,91000,Full-time,6,"FastAPI, TensorFlow, Machine Learning, Tableau, Hadoop, Git, AWS, Data Visualisation",Yes,2026-01-13
Graduate Data Analyst,Rio Tinto,Fremantle,55000,Internship,0,"Tableau, Statistics, JavaScript, NLP, Excel, Spark",No,2026-04-06
Data Analyst,Murdoch University,Perth CBD,120000,Full-time,6,"R, Node.js, AWS, Agile, Data Visualisation, Python, Docker, Git",Hybrid,2026-03-12
Data Engineer,Murdoch University,Joondalup,99000,Full-time,7,"Azure, Statistics, Spark",Yes,2026-05-15
Data Scientist,Accenture,Midland,96000,Full-time,4,"Node.js, Azure, pandas, Statistics",No,2026-04-14
Software Engineer,Woodside,Perth CBD,117000,Full-time,8,"Spark, NLP, NumPy, R",No,2026-04-08
Python Developer,Murdoch University,Bentley,116000,Internship,5,"SQL, JavaScript, Python, Spark, Machine Learning, Excel",Yes,2026-05-16
API Developer,GovTech WA,West Perth,83000,Full-time,6,"Deep Learning, Communication, Data Visualisation, Spark",Yes,2026-03-13
API Developer,UWA,Subiaco,116000,Contract,3,"R, SQL, Machine Learning, scikit-learn, Python, Deep Learning, REST APIs",Yes,2026-05-25
Junior Data Scientist,Telstra,Subiaco,74000,Internship,2,"R, Communication, Git, scikit-learn, PyTorch, Docker",Hybrid,2026-03-30
Data Analyst,Water Corporation,Midland,86000,Contract,6,"NLP, Statistics, Excel, scikit-learn, Node.js, Docker",Yes,2026-03-11
Graduate Data Analyst,HBF,Midland,70000,Full-time,2,"NLP, TensorFlow, Git, PyTorch, MongoDB, Machine Learning",Hybrid,2026-03-17
Graduate Data Analyst,UWA,Bentley,63000,Contract,2,"Excel, Agile, pandas, Tableau, PyTorch, Spark, JavaScript, Statistics",Yes,2026-01-24
Data Analyst,Murdoch University,Osborne Park,100000,Internship,3,"TensorFlow, Docker, pandas, Power BI, Tableau, Excel",Hybrid,2026-05-12
Python Developer,Water Corporation,Hybrid - Perth,87000,Contract,2,"Excel, TensorFlow, Git",No,2026-01-04
Machine Learning Engineer,ANZ Bank,Midland,107000,Part-time,6,"Docker, Excel, Hadoop, Git, NLP, REST APIs",Yes,2026-03-10
Machine Learning Engineer,GovTech WA,Subiaco,98000,Contract,4,"Tableau, Excel, Machine Learning, MongoDB, pandas, Statistics",No,2026-03-05
AI Engineer,Rio Tinto,Midland,121000,Contract,4,"Node.js, Agile, Deep Learning, MySQL, Power BI, Tableau",Hybrid,2026-04-08
Graduate Data Analyst,KPMG,Bentley,66000,Internship,0,"scikit-learn, MongoDB, Statistics, Data Visualisation, JavaScript, Node.js",Hybrid,2026-02-21
Software Engineer,GovTech WA,Hybrid - Perth,101000,Part-time,7,"PyTorch, scikit-learn, NumPy, Hadoop",No,2026-04-07
Machine Learning Engineer,RAC WA,Perth CBD,134000,Casual,3,"TensorFlow, Power BI, REST APIs, Deep Learning, Data Visualisation, Git",Hybrid,2026-02-23
Software Engineer,Murdoch University,Osborne Park,132000,Part-time,8,"Statistics, Spark, Excel, Data Visualisation, FastAPI",Hybrid,2026-03-19
Junior Data Scientist,HBF,Midland,63000,Internship,1,"Tableau, Spark, MongoDB, FastAPI, PyTorch, Excel, MySQL, Node.js",Hybrid,2026-04-18
Data Engineer,Woodside,Subiaco,82000,Part-time,7,"Spark, Communication, FastAPI, Git, Node.js",Hybrid,2026-04-01
Data Scientist,Murdoch University,Subiaco,122000,Full-time,8,"SQL, REST APIs, JavaScript, R, Data Visualisation, PyTorch, scikit-learn",Yes,2026-03-08
Junior Data Scientist,Small Tech Startup,Hybrid - Perth,72000,Internship,1,"Azure, Git, REST APIs, Spark, Data Visualisation, NLP, MySQL, TensorFlow",Yes,2026-03-30
Data Analyst,Wesfarmers,Joondalup,112000,Contract,2,"NumPy, MongoDB, Agile",No,2026-03-29
Software Engineer,Small Tech Startup,Bentley,131000,Full-time,5,"Azure, AWS, TensorFlow, Power BI",No,2026-01-12
Graduate Data Analyst,ANZ Bank,Fremantle,59000,Internship,0,"Data Visualisation, scikit-learn, JavaScript",Yes,2026-05-22
Data Scientist,Murdoch University,Midland,102000,Full-time,3,"MongoDB, MySQL, NLP, FastAPI, PyTorch, JavaScript, Machine Learning",Hybrid,2026-02-20
Software Engineer,Woodside,Hybrid - Perth,119000,Full-time,8,"PyTorch, Python, Spark, Deep Learning, Statistics, pandas",Hybrid,2026-02-17
Backend Developer,GovTech WA,Remote,101000,Contract,8,"MySQL, Power BI, pandas, R",Hybrid,2026-04-10
Junior ML Engineer,KPMG,Hybrid - Perth,68000,Internship,2,"Power BI, TensorFlow, Communication, MySQL, Node.js, Machine Learning, R",Yes,2026-02-04
Backend Developer,Telstra,Remote,88000,Casual,7,"NumPy, Power BI, Machine Learning, TensorFlow",No,2026-02-05
Junior ML Engineer,RAC WA,Joondalup,68000,Casual,0,"Machine Learning, AWS, JavaScript, Git, Spark, Data Visualisation",No,2026-02-05
Data Scientist,Commonwealth Bank,Midland,101000,Internship,3,"Node.js, SQL, Data Visualisation, TensorFlow, Python, AWS",Hybrid,2026-05-07
Python Developer,HBF,Perth CBD,125000,Part-time,2,"MongoDB, Spark, Statistics, MySQL, AWS, Machine Learning",No,2026-01-09
Machine Learning Engineer,Fortescue,Subiaco,95000,Internship,6,"NumPy, Machine Learning, Docker, MySQL, REST APIs, Hadoop, AWS",Yes,2026-03-10
Graduate Data Analyst,RAC WA,Fremantle,73000,Casual,1,"Git, Statistics, Docker, SQL, Hadoop",Yes,2026-03-05
Machine Learning Engineer,Woodside,Osborne Park,137000,Full-time,8,"MySQL, pandas, TensorFlow",Yes,2026-02-23
Graduate Data Analyst,Commonwealth Bank,Fremantle,74000,Full-time,0,"TensorFlow, Data Visualisation, Spark, Node.js, JavaScript, MongoDB, Machine Learning, Statistics",Hybrid,2026-03-31
Data Engineer,Fortescue,Subiaco,98000,Part-time,4,"Git, Machine Learning, scikit-learn, Spark, NumPy, FastAPI, REST APIs",No,2026-01-16
Machine Learning Engineer,Deloitte,Midland,137000,Casual,8,"Tableau, Spark, Data Visualisation, Agile, NLP, Statistics, Communication, scikit-learn",Yes,2026-05-28
Business Intelligence Analyst,Accenture,Bentley,98000,Casual,6,"MongoDB, PyTorch, MySQL, Excel, JavaScript, Docker, Statistics, Communication",No,2026-03-25
Junior ML Engineer,UWA,Fremantle,55000,Casual,2,"Excel, Hadoop, MySQL, JavaScript, R, Spark, TensorFlow, Agile",Yes,2026-05-07
Machine Learning Engineer,IBM,Perth CBD,101000,Full-time,5,"scikit-learn, Git, REST APIs, Tableau, Data Visualisation",Yes,2026-04-28
Data Analyst,Telstra,West Perth,88000,Part-time,7,"MySQL, Python, MongoDB, Deep Learning",No,2026-01-24
Business Intelligence Analyst,BHP,Midland,104000,Contract,3,"Excel, TensorFlow, R, Communication, JavaScript",Hybrid,2026-03-01
Python Developer,GovTech WA,Subiaco,123000,Part-time,3,"Spark, Power BI, Python",Hybrid,2026-02-27
Data Engineer,Telstra,Osborne Park,125000,Full-time,7,"Python, Agile, Spark, scikit-learn, Power BI, MongoDB",Yes,2026-04-09
Junior Data Analyst,Telstra,Midland,58000,Part-time,1,"scikit-learn, TensorFlow, Communication",Hybrid,2026-02-06
Junior Data Analyst,Telstra,Midland,72000,Internship,0,"Python, Node.js, JavaScript, Machine Learning, MySQL, TensorFlow, Hadoop",Hybrid,2026-04-24
Full Stack Developer,Wesfarmers,Hybrid - Perth,94000,Casual,8,"Communication, Power BI, Tableau",No,2026-04-20
Backend Developer,RAC WA,Hybrid - Perth,132000,Internship,3,"NLP, pandas, JavaScript, Excel",Hybrid,2026-03-14
Graduate Data Analyst,BHP,Fremantle,56000,Casual,1,"Communication, NumPy, Deep Learning, Azure, Node.js, Statistics, Data Visualisation, PyTorch",No,2026-01-29
Junior Data Scientist,Murdoch University,Bentley,71000,Internship,2,"Node.js, Excel, Azure, Python, TensorFlow, scikit-learn, Tableau, PyTorch",Hybrid,2026-02-14
Graduate Data Analyst,Accenture,Fremantle,70000,Full-time,0,"Python, REST APIs, Excel",Yes,2026-04-12
Data Engineer,RAC WA,Remote,99000,Internship,7,"Spark, Azure, Docker, MongoDB, Statistics, Agile, PyTorch, Excel",Yes,2026-03-13
Junior Data Analyst,RAC WA,Bentley,65000,Casual,0,"Azure, Agile, Deep Learning",Hybrid,2026-01-17
Machine Learning Engineer,Wesfarmers,Osborne Park,126000,Internship,5,"Hadoop, Data Visualisation, NLP, SQL, Communication, Excel",Hybrid,2026-01-15
Machine Learning Engineer,ANZ Bank,Osborne Park,124000,Contract,2,"R, Hadoop, Machine Learning, Power BI, Python, Spark, Tableau, Docker",Hybrid,2026-05-13
Graduate Data Analyst,Wesfarmers,Perth CBD,63000,Contract,1,"TensorFlow, Tableau, Hadoop, Docker",No,2026-03-11
Data Engineer,Fortescue,Bentley,84000,Full-time,5,"Spark, REST APIs, JavaScript, Excel, AWS",No,2026-05-26
Data Scientist,Wesfarmers,Fremantle,104000,Internship,6,"pandas, Docker, Power BI, Communication",Yes,2026-01-12
Full Stack Developer,UWA,Joondalup,137000,Part-time,4,"NLP, SQL, AWS",Yes,2026-05-22
Graduate Data Analyst,IBM,West Perth,69000,Full-time,2,"scikit-learn, NLP, MongoDB, Agile",Hybrid,2026-04-06
Junior Data Analyst,Small Tech Startup,West Perth,71000,Contract,0,"Communication, SQL, Machine Learning, NLP, FastAPI, Azure, Agile, PyTorch",No,2026-01-23
Data Engineer,KPMG,Hybrid - Perth,110000,Part-time,6,"TensorFlow, Deep Learning, NumPy",No,2026-04-05
Junior ML Engineer,Telstra,Perth CBD,71000,Casual,0,"Hadoop, Communication, Git, Docker",Yes,2026-03-01
Data Engineer,KPMG,Subiaco,103000,Part-time,8,"Statistics, Spark, Python, scikit-learn, Data Visualisation, Docker, R, PyTorch",Hybrid,2026-03-02
Python Developer,BHP,Fremantle,112000,Internship,2,"Tableau, Spark, pandas",No,2026-04-06
Software Engineer,UWA,Subiaco,129000,Internship,3,"REST APIs, Power BI, Azure",Hybrid,2026-01-16
Python Developer,UWA,Bentley,123000,Contract,4,"NLP, NumPy, pandas, Data Visualisation",No,2026-03-11
Junior Data Scientist,Wesfarmers,Joondalup,57000,Casual,0,"Tableau, Docker, REST APIs, Power BI",No,2026-03-22
Python Developer,Wesfarmers,Subiaco,88000,Part-time,8,"TensorFlow, Docker, Deep Learning, MySQL, NumPy, Statistics, pandas",Hybrid,2026-03-19
Full Stack Developer,Curtin University,Midland,126000,Internship,3,"Node.js, SQL, Deep Learning, Statistics, scikit-learn, Tableau, Excel, Spark",Yes,2026-03-18
Machine Learning Engineer,RAC WA,Fremantle,134000,Full-time,6,"Python, PyTorch, Data Visualisation, MySQL",No,2026-01-27
Graduate Data Analyst,Telstra,Fremantle,60000,Casual,0,"Python, SQL, Statistics",No,2026-01-22
Junior ML Engineer,Small Tech Startup,Joondalup,74000,Full-time,2,"Agile, Statistics, Excel, Python, Deep Learning",No,2026-02-01
Data Analyst,UWA,Osborne Park,110000,Full-time,5,"Machine Learning, Agile, REST APIs",No,2026-04-20
Data Scientist,BHP,Hybrid - Perth,103000,Internship,3,"Agile, Machine Learning, pandas, MySQL",Hybrid,2026-03-04
